日期,质量等级,AQI指数,当天AQI排名,PM2\.5,PM10,So2,No2,Co,O3
"
                                        2014-03-17","
                                       良","79
                                       ",27,55,101,19,54,0.90,45
"
                                        2014-03-18","
                                       轻度污染","107
                                       ",76,80,129,20,50,1.00,73
"
                                        2014-03-19","
                                       轻度污染","140
                                       ",159,106,152,15,46,0.94,43
"
                                        2014-03-20","
                                       良","76
                                       ",88,54,92,20,44,0.77,46
"
                                        2014-03-21","
                                       良","75
                                       ",102,48,97,23,56,0.74,47
"
                                        2014-03-22","
                                       良","79
                                       ",78,53,100,29,61,0.68,51
"
                                        2014-03-23","
                                       良","93
                                       ",97,64,126,32,67,0.79,46
"
                                        2014-03-25","
                                       良","75
                                       ",38,52,92,15,63,1.01,27
"
                                        2014-03-26","
                                       良","100
                                       ",79,74,114,20,46,1.06,64
"
                                        2014-03-27","
                                       轻度污染","120
                                       ",107,89,129,24,55,0.98,68
"
                                        2014-03-28","
                                       良","59
                                       ",37,40,66,13,51,0.86,35
"
                                        2014-03-29","
                                       优","48
                                       ",21,30,46,9,45,0.85,25
"
                                        2014-03-30","
                                       轻度污染","126
                                       ",151,95,148,20,37,0.98,75
"
                                        2014-03-31","
                                       轻度污染","124
                                       ",159,94,121,26,39,0.90,78
"
                                        2014-04-01","
                                       良","96
                                       ",118,71,101,22,48,0.70,43
"
                                        2014-04-02","
                                       良","94
                                       ",118,70,107,20,50,0.68,47
"
                                        2014-04-03","
                                       良","78
                                       ",101,57,83,18,51,0.63,43
"
                                        2014-04-04","
                                       良","75
                                       ",68,43,96,21,52,0.59,67
"
                                        2014-04-05","
                                       良","97
                                       ",138,64,142,23,61,0.84,63
"
                                        2014-04-06","
                                       良","56
                                       ",25,23,61,16,35,0.44,63
"
                                        2014-04-07","
                                       良","82
                                       ",91,59,87,22,50,0.73,43
"
                                        2014-04-08","
                                       轻度污染","130
                                       ",132,97,138,17,60,1.08,37
"
                                        2014-04-09","
                                       轻度污染","124
                                       ",127,93,138,23,59,0.88,64
"
                                        2014-04-10","
                                       轻度污染","117
                                       ",134,85,134,28,66,0.86,82
"
                                        2014-04-11","
                                       轻度污染","115
                                       ",158,87,140,26,71,0.83,60
"
                                        2014-04-12","
                                       良","99
                                       ",133,74,106,10,56,1.04,22
"
                                        2014-04-13","
                                       优","48
                                       ",25,34,32,6,27,0.72,55
"
                                        2014-04-14","
                                       良","75
                                       ",59,47,83,18,32,0.56,112
"
                                        2014-04-15","
                                       良","96
                                       ",114,65,114,45,60,0.67,72
"
                                        2014-04-16","
                                       良","84
                                       ",124,60,97,23,61,0.74,43
"
                                        2014-04-17","
                                       轻度污染","141
                                       ",165,107,157,33,71,1.24,27
"
                                        2014-04-18","
                                       轻度污染","106
                                       ",150,79,106,32,54,1.16,34
"
                                        2014-04-19","
                                       良","58
                                       ",81,41,54,8,38,0.59,47
"
                                        2014-04-20","
                                       良","66
                                       ",84,47,68,13,40,0.64,48
"
                                        2014-04-21","
                                       良","55
                                       ",45,39,50,20,42,0.59,50
"
                                        2014-04-22","
                                       良","59
                                       ",50,42,58,10,40,0.69,68
"
                                        2014-04-23","
                                       良","81
                                       ",75,56,96,20,57,0.78,51
"
                                        2014-04-24","
                                       良","80
                                       ",88,57,104,38,60,0.79,49
"
                                        2014-04-25","
                                       良","55
                                       ",41,35,58,25,49,0.70,35
"
                                        2014-04-26","
                                       良","70
                                       ",115,49,87,32,62,0.90,13
"
                                        2014-04-27","
                                       优","38
                                       ",16,25,30,7,29,0.94,30
"
                                        2014-04-28","
                                       良","62
                                       ",68,41,67,11,29,0.62,63
"
                                        2014-04-29","
                                       良","76
                                       ",58,50,100,17,45,0.78,70
"
                                        2014-04-30","
                                       轻度污染","109
                                       ",136,78,148,31,65,0.85,69
