日期,质量等级,AQI指数,当天AQI排名,PM2\.5,PM10,So2,No2,Co,O3
"
                                        2014-01-01","
                                       轻度污染","122
                                       ",88,96,127,29,98,1.87,42
"
                                        2014-01-02","
                                       轻度污染","146
                                       ",101,120,146,38,121,1.79,36
"
                                        2014-01-03","
                                       中度污染","179
                                       ",118,135,172,30,110,1.88,44
"
                                        2014-01-04","
                                       中度污染","169
                                       ",143,128,158,40,73,1.57,68
"
                                        2014-01-05","
                                       中度污染","153
                                       ",96,116,145,38,92,1.45,60
"
                                        2014-01-06","
                                       重度污染","205
                                       ",137,155,188,41,108,1.73,59
"
                                        2014-01-07","
                                       轻度污染","133
                                       ",108,100,122,28,91,1.40,29
"
                                        2014-01-08","
                                       轻度污染","122
                                       ",153,91,115,15,68,1.89,18
"
                                        2014-01-09","
                                       良","66
                                       ",57,47,64,11,40,1.48,40
"
                                        2014-01-10","
                                       良","91
                                       ",65,67,87,17,55,1.36,35
"
                                        2014-01-11","
                                       轻度污染","133
                                       ",119,100,130,23,80,1.63,35
"
                                        2014-01-12","
                                       轻度污染","121
                                       ",113,90,120,17,59,1.78,26
"
                                        2014-01-13","
                                       良","60
                                       ",33,37,68,10,31,1.15,31
"
                                        2014-01-14","
                                       良","64
                                       ",33,41,70,11,40,0.97,48
"
                                        2014-01-15","
                                       良","91
                                       ",50,67,89,14,55,1.02,61
"
                                        2014-01-16","
                                       轻度污染","130
                                       ",79,99,134,20,97,1.39,41
"
                                        2014-01-17","
                                       轻度污染","145
                                       ",71,109,151,22,100,1.57,39
"
                                        2014-01-18","
                                       良","94
                                       ",34,69,98,19,50,0.89,81
"
                                        2014-01-19","
                                       轻度污染","135
                                       ",69,103,136,26,82,1.15,75
"
                                        2014-01-20","
                                       轻度污染","137
                                       ",103,103,140,22,89,1.35,68
"
                                        2014-01-21","
                                       轻度污染","101
                                       ",126,76,111,24,43,0.96,89
"
                                        2014-01-22","
                                       良","69
                                       ",19,49,76,12,52,0.87,64
"
                                        2014-01-24","
                                       良","89
                                       ",60,66,93,20,82,1.01,42
"
                                        2014-01-25","
                                       良","97
                                       ",66,72,87,12,87,1.48,28
"
                                        2014-01-26","
                                       轻度污染","103
                                       ",116,77,89,14,65,1.40,52
"
                                        2014-01-27","
                                       轻度污染","123
                                       ",127,93,111,16,55,1.19,70
"
                                        2014-01-28","
                                       轻度污染","110
                                       ",109,82,97,16,67,1.13,60
"
                                        2014-01-29","
                                       轻度污染","134
                                       ",131,101,116,14,75,1.33,66
"
                                        2014-01-30","
                                       轻度污染","111
                                       ",63,83,92,16,64,1.22,73
"
                                        2014-01-31","
                                       中度污染","158
                                       ",53,118,138,24,50,1.13,80
"
                                        2014-02-01","
                                       良","71
                                       ",44,50,57,11,31,0.79,67
"
                                        2014-02-02","
                                       良","66
                                       ",28,47,54,10,39,0.93,57
"
                                        2014-02-03","
                                       良","68
                                       ",81,49,62,8,40,1.03,58
"
                                        2014-02-04","
                                       良","73
                                       ",135,53,65,8,34,1.04,60
"
                                        2014-02-05","
                                       优","50
                                       ",96,35,44,9,24,0.99,68
"
                                        2014-02-06","
                                       优","41
                                       ",72,29,34,11,31,1.05,39
"
                                        2014-02-07","
                                       优","45
                                       ",71,31,39,9,33,1.04,23
"
                                        2014-02-08","
                                       优","32
                                       ",18,22,29,3,21,1.16,9
"
                                        2014-02-09","
                                       优","13
                                       ",1,8,12,2,21,1.01,12
"
                                        2014-02-10","
                                       优","41
                                       ",41,29,35,6,17,0.95,49
"
                                        2014-02-11","
                                       良","60
                                       ",45,42,50,11,21,0.74,61
"
                                        2014-02-12","
                                       良","71
                                       ",51,51,60,6,28,0.74,42
"
                                        2014-02-13","
                                       优","47
                                       ",37,33,38,6,28,0.74,32
"
                                        2014-02-14","
                                       良","65
                                       ",29,47,54,9,26,0.67,53
"
                                        2014-02-15","
                                       良","68
                                       ",34,49,60,8,36,0.70,35
"
                                        2014-02-16","
                                       良","89
                                       ",88,66,85,15,57,1.20,12
"
                                        2014-02-17","
                                       轻度污染","147
                                       ",155,111,166,24,85,1.90,13
"
                                        2014-02-18","
                                       良","59
                                       ",75,42,62,11,42,1.39,8
"
                                        2014-02-19","
                                       优","23
                                       ",14,15,21,7,33,1.03,21
"
                                        2014-02-20","
                                       优","38
                                       ",9,25,37,9,35,0.64,39
"
                                        2014-02-21","
                                       良","86
                                       ",44,64,98,24,84,0.81,59
"
                                        2014-02-22","
                                       良","94
                                       ",51,70,86,18,69,0.87,27
"
                                        2014-02-23","
                                       良","88
                                       ",44,65,82,14,67,0.89,56
"
                                        2014-02-24","
                                       良","76
                                       ",36,55,81,21,78,0.80,39
"
                                        2014-02-25","
                                       良","66
                                       ",61,47,76,20,75,0.92,29
"
                                        2014-02-26","
                                       良","84
                                       ",71,62,86,15,66,1.27,29
"
                                        2014-02-27","
                                       良","63
                                       ",50,45,64,15,55,1.04,44
"
                                        2014-02-28","
                                       良","62
                                       ",82,44,64,20,67,0.86,31
"
                                        2014-03-01","
                                       良","63
                                       ",87,45,64,21,62,0.91,37
"
                                        2014-03-02","
                                       优","41
                                       ",17,28,40,29,42,1.42,22
"
                                        2014-03-03","
                                       良","64
                                       ",51,46,62,12,47,1.43,23
"
                                        2014-03-04","
                                       良","70
                                       ",80,51,71,13,53,1.25,23
"
                                        2014-03-05","
                                       优","39
                                       ",12,24,41,13,43,1.09,33
"
                                        2014-03-06","
                                       良","85
                                       ",130,63,87,22,64,1.16,29
"
                                        2014-03-07","
                                       优","35
                                       ",17,23,34,6,38,0.95,20
"
                                        2014-03-08","
                                       优","50
                                       ",37,34,51,10,43,0.96,17
"
                                        2014-03-09","
                                       优","29
                                       ",11,19,27,5,36,0.80,24
